Name,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,1 Point Field Goals,2 Point Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,Inside 10 Metres,On Report,Sin Bins,Send Offs,Stint One,Stint Two,Year,Round,Home Team,Away Team
Jack Bostock,5,Winger,80:00,4,1,-,-,-,-,-,-,40,15,144,-,47,1,-,-,-,5,-,-,3.07s,-,-,-,-,1,1,16,0.07,100%,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,80:00,-,2024,15,Sharks,Dolphins
Kodi Nikorima,6,Five-Eighth,80:00,-,-,-,-,-,-,-,-,51,6,32,-,1,-,2,2,-,3,-,-,3.4s,-,-,-,1,3,26,32,4.33,89.29%,25,1,2,-,-,3,93,-,1,1,-,-,-,1,1,1,-,-,-,-,-,-,-,80:00,-,2024,15,Sharks,Dolphins
Isaiya Katoa,7,Halfback,80:00,-,-,-,-,-,-,-,-,42,8,58,-,4,-,-,-,-,1,-,-,4.34s,-,-,-,-,8,37,62,4.63,82.61%,19,3,1,-,-,22,680,1,8,1,-,-,2,-,-,-,-,1,-,-,-,-,-,80:00,-,2024,15,Sharks,Dolphins
Kenneath Bromwich,8,Prop,40:00,-,-,-,-,-,-,-,-,44,16,149,25,47,-,1,1,-,1,13,-,2.83s,-,-,-,2,-,2,18,0.13,89.47%,17,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26:14,14:14,2024,15,Sharks,Dolphins
Jeremy Marshall-King,9,Hooker,80:00,-,-,-,-,-,-,-,-,44,4,37,-,8,-,-,-,-,-,-,-,2.18s,4,37,-,2,7,111,115,27.75,88.1%,37,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,15,Sharks,Dolphins
Felise Kaufusi,10,Prop,44:00,-,-,-,-,-,-,-,-,26,14,147,25,51,-,-,-,-,-,12,-,3.04s,-,-,-,-,5,1,15,0.07,87.5%,14,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19:47,21:41,2024,15,Sharks,Dolphins
Connelly Lemuelu,11,2nd Row,80:00,-,-,-,-,-,-,-,-,43,16,123,-,41,-,-,-,-,1,15,-,3.1s,1,6,-,1,1,-,16,-,91.89%,34,2,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,80:00,-,2024,15,Sharks,Dolphins
Euan Aitken,12,2nd Row,80:00,-,-,-,-,-,-,-,-,46,11,97,-,40,-,-,-,-,-,11,-,2.86s,-,-,-,-,-,1,13,0.09,92.5%,37,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,15,Sharks,Dolphins
Max Plath,13,Lock,63:00,4,1,-,-,-,-,-,-,53,12,109,-,34,1,-,-,-,3,11,-,2.82s,-,-,-,-,5,7,18,0.58,88.57%,31,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,46:43,16:39,2024,15,Sharks,Dolphins
Josh Kerr,14,Interchange,17:00,-,-,-,-,-,-,-,-,14,6,61,16,16,-,-,-,-,-,5,-,2.02s,-,-,-,-,-,-,6,-,100%,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16:34,-,2024,15,Sharks,Dolphins
